class name, frequency
com.cloud.network.dao.NiciraNvpRouterMappingDao,1,
com.cloud.network.NiciraNvpDeviceVO,13,
com.cloud.agent.api.CreateLogicalRouterAnswer,1,
com.cloud.network.PublicIpAddress,4,
com.cloud.network.NiciraNvpRouterMappingVO,2,
com.cloud.agent.api.ConfigurePublicIpsOnLogicalRouterAnswer,1,
com.cloud.agent.api.ConfigureSharedNetworkUuidAnswer,1,
com.cloud.agent.api.ConfigureSharedNetworkVlanIdAnswer,1,
com.cloud.offerings.dao.NetworkOfferingServiceMapDao,4,
com.cloud.network.dao.PhysicalNetworkVO,23,
com.cloud.deploy.DeploymentPlan,15,
