project name, file path, num of dependency classes, num of mocked classes,
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestMultiTableSnapshotInputFormatImpl.java,26,0,0%
hbase,/hbase-metrics/src/test/java/org/apache/hadoop/hbase/metrics/impl/TestDropwizardMeter.java,8,1,13%
hbase,/hbase-metrics-api/src/test/java/org/apache/hadoop/hbase/metrics/TestMetricRegistriesLoader.java,9,1,11%
hbase,/hbase-procedure/src/test/java/org/apache/hadoop/hbase/procedure2/store/wal/TestWALProcedureStore.java,41,0,0%
hbase,/hbase-rest/src/test/java/org/apache/hadoop/hbase/rest/TestGZIPResponseWrapper.java,17,2,12%
hbase,/hbase-rest/src/test/java/org/apache/hadoop/hbase/rest/client/TestRemoteAdminRetries.java,23,1,4%
hbase,/hbase-rest/src/test/java/org/apache/hadoop/hbase/rest/client/TestRemoteHTableRetries.java,27,1,4%
hbase,/hbase-rest/src/test/java/org/apache/hadoop/hbase/rest/client/TestXmlParsing.java,19,1,5%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/TestMetaTableAccessor.java,46,1,2%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/TestMetaTableLocator.java,27,0,0%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/TestHBaseTestingUtil.java,35,2,6%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/TestExecutorStatusChore.java,22,1,5%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/backup/TestHFileArchiving.java,62,3,5%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/backup/example/TestZooKeeperTableArchiveClient.java,51,1,2%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestIllegalTableDescriptor.java,25,1,4%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestFallbackToUseReplay.java,33,2,6%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestMalformedCellFromClient.java,38,1,3%
